source,ea,name
san11pk_dump.exe.idb,0x400000,__ImageBase
san11pk_dump.exe.idb,0x401030,?Release@CStringData@ATL@@QAEXXZ
san11pk_dump.exe.idb,0x401320,?SetLength@?$CSimpleStringT@D$0A@@ATL@@AAEXH@Z
san11pk_dump.exe.idb,0x4019e0,unknown_libname_1
san11pk_dump.exe.idb,0x404e2d,def_404E0C
san11pk_dump.exe.idb,0x404e30,jpt_404E0C
san11pk_dump.exe.idb,0x404e70,def_404E4C
san11pk_dump.exe.idb,0x404e74,jpt_404E4C
san11pk_dump.exe.idb,0x404fe0,def_404FAC
san11pk_dump.exe.idb,0x404fe4,jpt_404FAC
san11pk_dump.exe.idb,0x406231,def_4061CD
san11pk_dump.exe.idb,0x40623c,jpt_4061CD
san11pk_dump.exe.idb,0x4062a7,def_40628B
san11pk_dump.exe.idb,0x4062ac,jpt_40628B
san11pk_dump.exe.idb,0x406591,def_406562
san11pk_dump.exe.idb,0x4065f8,jpt_406562
san11pk_dump.exe.idb,0x4068cc,def_4068AE
san11pk_dump.exe.idb,0x4068f5,def_4068D4
san11pk_dump.exe.idb,0x406928,jpt_4068AE
san11pk_dump.exe.idb,0x406938,jpt_4068D4
san11pk_dump.exe.idb,0x40698c,def_40696E
san11pk_dump.exe.idb,0x4069c6,def_406999
san11pk_dump.exe.idb,0x406b18,jpt_40696E
san11pk_dump.exe.idb,0x406b28,jpt_406999
san11pk_dump.exe.idb,0x406b6f,def_406B51
san11pk_dump.exe.idb,0x406b98,def_406B77
san11pk_dump.exe.idb,0x406bc4,jpt_406B51
san11pk_dump.exe.idb,0x406bd4,jpt_406B77
san11pk_dump.exe.idb,0x4075e3,def_4075C5
san11pk_dump.exe.idb,0x40760c,def_4075EB
san11pk_dump.exe.idb,0x40768c,jpt_4075C5
san11pk_dump.exe.idb,0x40769c,jpt_4075EB
san11pk_dump.exe.idb,0x4077e0,def_4077BD
san11pk_dump.exe.idb,0x407818,jpt_4077BD
san11pk_dump.exe.idb,0x40af10,def_40AEA2
san11pk_dump.exe.idb,0x40b03b,def_40AFCD
