source,struct,order,offset_guess,member,fullname,comment,repeatable_comment,typeinfo_hex
san11pk_dump.exe.idb,GUID,0,,Data1,GUID.Data1,,,2700
san11pk_dump.exe.idb,GUID,1,,Data2,GUID.Data2,,,2300
san11pk_dump.exe.idb,GUID,2,,Data3,GUID.Data3,,,2300
san11pk_dump.exe.idb,GUID,3,,Data4,GUID.Data4,,,1b092200
san11pk_dump.exe.idb,_SCOPETABLE_ENTRY,0,,EnclosingLevel,_SCOPETABLE_ENTRY.EnclosingLevel,,,0700
san11pk_dump.exe.idb,_SCOPETABLE_ENTRY,1,,FilterFunc,_SCOPETABLE_ENTRY.FilterFunc,,,0a0100
san11pk_dump.exe.idb,_SCOPETABLE_ENTRY,2,,HandlerFunc,_SCOPETABLE_ENTRY.HandlerFunc,,,0a0100
san11pk_dump.exe.idb,CPPEH_RECORD,0,,old_esp,CPPEH_RECORD.old_esp,,,3d0644574f524400
san11pk_dump.exe.idb,CPPEH_RECORD,1,,exc_ptr,CPPEH_RECORD.exc_ptr,,,0a3d13455843455054494f4e5f504f494e5445525300
san11pk_dump.exe.idb,CPPEH_RECORD,2,,registration,CPPEH_RECORD.registration,,,0d0103234700
san11pk_dump.exe.idb,_EH3_EXCEPTION_REGISTRATION,0,,Next,_EH3_EXCEPTION_REGISTRATION.Next,,,0a0d0103234700
san11pk_dump.exe.idb,_EH3_EXCEPTION_REGISTRATION,1,,ExceptionHandler,_EH3_EXCEPTION_REGISTRATION.ExceptionHandler,,,3d0650564f494400
san11pk_dump.exe.idb,_EH3_EXCEPTION_REGISTRATION,2,,ScopeTable,_EH3_EXCEPTION_REGISTRATION.ScopeTable,,,3d03234600
san11pk_dump.exe.idb,_EH3_EXCEPTION_REGISTRATION,3,,TryLevel,_EH3_EXCEPTION_REGISTRATION.TryLevel,,,3d0644574f524400
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,0,,DebugInfo,_RTL_CRITICAL_SECTION.DebugInfo,,,3d03234c00
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,1,,LockCount,_RTL_CRITICAL_SECTION.LockCount,,,3d03235200
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,2,,RecursionCount,_RTL_CRITICAL_SECTION.RecursionCount,,,3d03235200
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,3,,OwningThread,_RTL_CRITICAL_SECTION.OwningThread,,,3d03235300
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,4,,LockSemaphore,_RTL_CRITICAL_SECTION.LockSemaphore,,,3d03235300
san11pk_dump.exe.idb,_RTL_CRITICAL_SECTION,5,,SpinCount,_RTL_CRITICAL_SECTION.SpinCount,,,3d03235400
san11pk_dump.exe.idb,tagMSG,0,,hwnd,tagMSG.hwnd,,,3d03235600
san11pk_dump.exe.idb,tagMSG,1,,message,tagMSG.message,,,3d03235800
san11pk_dump.exe.idb,tagMSG,2,,wParam,tagMSG.wParam,,,3d03235900
san11pk_dump.exe.idb,tagMSG,3,,lParam,tagMSG.lParam,,,3d03235b00
san11pk_dump.exe.idb,tagMSG,4,,time,tagMSG.time,,,3d03235100
san11pk_dump.exe.idb,tagMSG,5,,pt,tagMSG.pt,,,3d03235d00
san11pk_dump.exe.idb,POINT,0,,x,POINT.x,,,3d03235200
san11pk_dump.exe.idb,POINT,1,,y,POINT.y,,,3d03235200
san11pk_dump.exe.idb,tagPOINT,0,,x,tagPOINT.x,,,3d03235200
san11pk_dump.exe.idb,tagPOINT,1,,y,tagPOINT.y,,,3d03235200
san11pk_dump.exe.idb,tagRECT,0,,left,tagRECT.left,,,3d03235200
san11pk_dump.exe.idb,tagRECT,1,,top,tagRECT.top,,,3d03235200
san11pk_dump.exe.idb,tagRECT,2,,right,tagRECT.right,,,3d03235200
san11pk_dump.exe.idb,tagRECT,3,,bottom,tagRECT.bottom,,,3d03235200
san11pk_dump.exe.idb,_SYSTEMTIME,0,,wYear,_SYSTEMTIME.wYear,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,1,,wMonth,_SYSTEMTIME.wMonth,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,2,,wDayOfWeek,_SYSTEMTIME.wDayOfWeek,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,3,,wDay,_SYSTEMTIME.wDay,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,4,,wHour,_SYSTEMTIME.wHour,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,5,,wMinute,_SYSTEMTIME.wMinute,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,6,,wSecond,_SYSTEMTIME.wSecond,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEMTIME,7,,wMilliseconds,_SYSTEMTIME.wMilliseconds,,,3d03234e00
san11pk_dump.exe.idb,IID,0,,Data1,IID.Data1,,,2700
san11pk_dump.exe.idb,IID,1,,Data2,IID.Data2,,,2300
san11pk_dump.exe.idb,IID,2,,Data3,IID.Data3,,,2300
san11pk_dump.exe.idb,IID,3,,Data4,IID.Data4,,,1b092200
san11pk_dump.exe.idb,_SYSTEM_INFO,0,,anonymous_0,_SYSTEM_INFO.anonymous_0,,,1d0103236300
san11pk_dump.exe.idb,_SYSTEM_INFO,1,,dwPageSize,_SYSTEM_INFO.dwPageSize,,,3d03235100
san11pk_dump.exe.idb,_SYSTEM_INFO,2,,lpMinimumApplicationAddress,_SYSTEM_INFO.lpMinimumApplicationAddress,,,3d03236500
san11pk_dump.exe.idb,_SYSTEM_INFO,3,,lpMaximumApplicationAddress,_SYSTEM_INFO.lpMaximumApplicationAddress,,,3d03236500
san11pk_dump.exe.idb,_SYSTEM_INFO,4,,dwActiveProcessorMask,_SYSTEM_INFO.dwActiveProcessorMask,,,3d03236600
san11pk_dump.exe.idb,_SYSTEM_INFO,5,,dwNumberOfProcessors,_SYSTEM_INFO.dwNumberOfProcessors,,,3d03235100
san11pk_dump.exe.idb,_SYSTEM_INFO,6,,dwProcessorType,_SYSTEM_INFO.dwProcessorType,,,3d03235100
san11pk_dump.exe.idb,_SYSTEM_INFO,7,,dwAllocationGranularity,_SYSTEM_INFO.dwAllocationGranularity,,,3d03235100
san11pk_dump.exe.idb,_SYSTEM_INFO,8,,wProcessorLevel,_SYSTEM_INFO.wProcessorLevel,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEM_INFO,9,,wProcessorRevision,_SYSTEM_INFO.wProcessorRevision,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F,0,,dwOemId,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F.dwOemId,,,3d03235100
san11pk_dump.exe.idb,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F,1,,anonymous_0,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F.anonymous_0,,,0d0103236400
san11pk_dump.exe.idb,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F::$AA04DEB0C6383F89F13D312A174572A9,0,,wProcessorArchitecture,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F::$AA04DEB0C6383F89F13D312A174572A9.wProcessorArchitecture,,,3d03234e00
san11pk_dump.exe.idb,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F::$AA04DEB0C6383F89F13D312A174572A9,1,,wReserved,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F::$AA04DEB0C6383F89F13D312A174572A9.wReserved,,,3d03234e00
san11pk_dump.exe.idb,_OSVERSIONINFOA,0,,dwOSVersionInfoSize,_OSVERSIONINFOA.dwOSVersionInfoSize,,,3d03235100
san11pk_dump.exe.idb,_OSVERSIONINFOA,1,,dwMajorVersion,_OSVERSIONINFOA.dwMajorVersion,,,3d03235100
san11pk_dump.exe.idb,_OSVERSIONINFOA,2,,dwMinorVersion,_OSVERSIONINFOA.dwMinorVersion,,,3d03235100
san11pk_dump.exe.idb,_OSVERSIONINFOA,3,,dwBuildNumber,_OSVERSIONINFOA.dwBuildNumber,,,3d03235100
san11pk_dump.exe.idb,_OSVERSIONINFOA,4,,dwPlatformId,_OSVERSIONINFOA.dwPlatformId,,,3d03235100
san11pk_dump.exe.idb,_OSVERSIONINFOA,5,,szCSDVersion,_OSVERSIONINFOA.szCSDVersion,,,1b81013d03236800
san11pk_dump.exe.idb,WINDOWPLACEMENT,0,,length,WINDOWPLACEMENT.length,,,3d03235800
san11pk_dump.exe.idb,WINDOWPLACEMENT,1,,flags,WINDOWPLACEMENT.flags,,,3d03235800
san11pk_dump.exe.idb,WINDOWPLACEMENT,2,,showCmd,WINDOWPLACEMENT.showCmd,,,3d03235800
san11pk_dump.exe.idb,WINDOWPLACEMENT,3,,ptMinPosition,WINDOWPLACEMENT.ptMinPosition,,,3d03235d00
san11pk_dump.exe.idb,WINDOWPLACEMENT,4,,ptMaxPosition,WINDOWPLACEMENT.ptMaxPosition,,,3d03235d00
san11pk_dump.exe.idb,WINDOWPLACEMENT,5,,rcNormalPosition,WINDOWPLACEMENT.rcNormalPosition,,,3d03236b00
san11pk_dump.exe.idb,RECT,0,,left,RECT.left,,,3d03235200
san11pk_dump.exe.idb,RECT,1,,top,RECT.top,,,3d03235200
san11pk_dump.exe.idb,RECT,2,,right,RECT.right,,,3d03235200
san11pk_dump.exe.idb,RECT,3,,bottom,RECT.bottom,,,3d03235200
