source,idx,nodeid,name,member_count
san11pk_dump.exe.idb,0,0xff00005d,GUID,4
san11pk_dump.exe.idb,1,0xff00b408,_SCOPETABLE_ENTRY,3
san11pk_dump.exe.idb,2,0xff00b40c,CPPEH_RECORD,3
san11pk_dump.exe.idb,3,0xff00b40f,_EH3_EXCEPTION_REGISTRATION,4
san11pk_dump.exe.idb,4,0xff00cf6a,_RTL_CRITICAL_SECTION,6
san11pk_dump.exe.idb,5,0xff00cf71,tagMSG,6
san11pk_dump.exe.idb,6,0xff00cf77,POINT,2
san11pk_dump.exe.idb,7,0xff00cf7b,tagPOINT,2
san11pk_dump.exe.idb,8,0xff00cf7e,tagRECT,4
san11pk_dump.exe.idb,9,0xff00cf83,_SYSTEMTIME,8
san11pk_dump.exe.idb,10,0xff00cf8c,IID,4
san11pk_dump.exe.idb,11,0xff00cf91,_SYSTEM_INFO,10
san11pk_dump.exe.idb,12,0xff00cf92,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F,2
san11pk_dump.exe.idb,13,0xff00cf94,_SYSTEM_INFO::$A707B71C060B6D10F73A71917EA8473F::$AA04DEB0C6383F89F13D312A174572A9,2
san11pk_dump.exe.idb,14,0xff00cfa2,_OSVERSIONINFOA,6
san11pk_dump.exe.idb,15,0xff00cfae,WINDOWPLACEMENT,6
san11pk_dump.exe.idb,16,0xff00cfb4,RECT,4
san11pk_dump.exe.idb,17,0xff00cfba,_FILETIME,2
san11pk_dump.exe.idb,18,0xff00cfbd,_cpinfo,3
san11pk_dump.exe.idb,19,0xff00cfc1,_MEMORY_BASIC_INFORMATION,7
san11pk_dump.exe.idb,20,0xff00cfc9,_STARTUPINFOA,18
san11pk_dump.exe.idb,21,0xff00cfdc,_TIME_ZONE_INFORMATION,7
san11pk_dump.exe.idb,22,0xff00cfdf,SYSTEMTIME,8
san11pk_dump.exe.idb,23,0xff00cfed,_SECURITY_ATTRIBUTES,3
san11pk_dump.exe.idb,24,0xff00d003,tagWNDCLASSA,10
san11pk_dump.exe.idb,25,0xff00d00e,tagWNDCLASSEXA,12
san11pk_dump.exe.idb,26,0xff00d01b,_WIN32_FIND_DATAA,10
san11pk_dump.exe.idb,27,0xff00d01d,FILETIME,2
san11pk_dump.exe.idb,28,0xff00d3a9,FuncInfoV1,7
san11pk_dump.exe.idb,29,0xff00d3b1,UnwindMapEntry,2
san11pk_dump.exe.idb,30,0xff00d3c0,TryBlockMapEntry,5
san11pk_dump.exe.idb,31,0xff00d3c6,HandlerType,4
san11pk_dump.exe.idb,32,0xff00d3cb,_ThrowInfo,4
san11pk_dump.exe.idb,33,0xff00d81d,TypeDescriptor,3
san11pk_dump.exe.idb,34,0xff00d91e,tm,9
san11pk_dump.exe.idb,35,0xff00d938,LARGE_INTEGER,3
san11pk_dump.exe.idb,36,0xff00d939,_LARGE_INTEGER::$837407842DC9087486FDFA5FEB63B74E,2
san11pk_dump.exe.idb,37,0xff00d93f,FILE,8
san11pk_dump.exe.idb,38,0xff00d9f7,_Ctypevec,4
san11pk_dump.exe.idb,39,0xff00dab1,tagMONITORINFO,4
san11pk_dump.exe.idb,40,0xff00dac9,VARIANTARG,1
san11pk_dump.exe.idb,41,0xff00daca,tagVARIANT::$E93DC971A089CC95F6C875332324C1E7,2
san11pk_dump.exe.idb,42,0xff00dacb,tagVARIANT::$E93DC971A089CC95F6C875332324C1E7::$65D68C826D16CA47CF95571D7BFCD657,5
san11pk_dump.exe.idb,43,0xff00dad0,tagVARIANT::$::$65D68C826D16CA47CF95571D7BFCD657::$E09503A454170B491AC1C4312CE36FE6,44
san11pk_dump.exe.idb,44,0xff00dad9,CY,2
san11pk_dump.exe.idb,45,0xff00dada,tagCY::$3EA7BC8C29B528C7CA1203FC489E132F,2
san11pk_dump.exe.idb,46,0xff00db02,tagVARIANT::$::$::$E09503A454170B491AC1C4312CE36FE6::$0FDBD249F1AECD6A49409B6B82281578,2
san11pk_dump.exe.idb,47,0xff00db08,DECIMAL,4
san11pk_dump.exe.idb,48,0xff00db0a,tagDEC::$64EC678C49E7BE49873AFBFB7A849D34,2
san11pk_dump.exe.idb,49,0xff00db0b,tagDEC::$64EC678C49E7BE49873AFBFB7A849D34::$7F8459940C2B08BD5D82B0F27239141B,2
san11pk_dump.exe.idb,50,0xff00db12,tagDEC::$D28E26DEC3EC762C06C2AA9D0F7AC301,2
san11pk_dump.exe.idb,51,0xff00db13,tagDEC::$D28E26DEC3EC762C06C2AA9D0F7AC301::$674876891A86A76F12C10005982BCA56,2
san11pk_dump.exe.idb,52,0xff00dbca,tagSIZE,2
san11pk_dump.exe.idb,53,0xff00debf,MSG,6
san11pk_dump.exe.idb,54,0xff00e07f,tagMENUITEMINFOA,12
san11pk_dump.exe.idb,55,0xff00e2d5,IMAGEINFO,5
