kind,ea,name
function,0x47a850,HasTechnologyForFacility
function,0x47c4c0,GetFacilityPtrByCity
function,0x47cb80,GetCoordinatesForCity
function,0x47e030,ValidateFacilityID
function,0x47e370,GetCoordinatesForCorp
function,0x481640,GetCoordinatesForForce
function,0x483560,GetCoordinatesForPass
function,0x483a50,GetAdjacentCoordinateInDirection
function,0x483b00,GetFacilityIDFromMapGridData
function,0x483b20,GetFacilityPtrFromCoordinate
function,0x483c80,GetAllAccessibleCoordinatesInRange
function,0x483db0,AreCoordinatesAdjacent
function,0x486320,IsFacilityOnFire
function,0x4863c0,GetFacilityIDFromPtr
function,0x486660,IsFacilityOfType
function,0x486680,GetFacilityIDFromSPPtr
function,0x4866f0,GetCityPtrFromFacilityPtr
function,0x486720,GetPassPtrFromFacilityPtr
function,0x486760,GetHarborPtrFromFacilityPtr
function,0x4867d0,GetCorpIDForFacility
function,0x487150,GetFacilityMaxDurability
function,0x487920,GetFacilityCityID
function,0x4879c0,GetFacilityTypeCategory
function,0x487b30,FacilityTypeJudgementFunction
function,0x487ca0,SetFacilityConstructionStatus
function,0x487dc0,GetCoordinatesForFacility
function,0x487e10,VerifySPFacilityPtr
function,0x487e20,SetFacilityDurability
function,0x487eb0,GetForceIDForFacility
function,0x4880e0,GetPersonIDWithSkillForFacility
function,0x488350,VerifySPFacilityIDRange
function,0x489610,GetCoordinatesForPerson
function,0x48d910,GetFacilityPtrFromHarbor
function,0x48d950,GetCoordinatesForHarbor
function,0x490b90,GetFacilityTypePtrFromID
function,0x490d00,GetFacilityPtrFromID
function,0x490d30,GetObjectLimitByType
function,0x491770,getFacilityIDFromPtr
function,0x495c20,IsTroopAndFacilitySameForce
function,0x495c50,IsFacilityAndTroopSameForce
function,0x496030,GetCoordinatesForTroop
function,0x49cf50,GetFacilityTypeFromUnit
function,0x49cfb0,IsCivilFacilityCompletedForUnit
function,0x49dab0,DoesCityHaveSpecificFacility
function,0x49dd30,IsFacilitySpecificType
function,0x49e450,GetCityIDFromFacilityPtr
function,0x49e500,IsSpecificFacilityNearCoordinate
function,0x4a31e0,SetPersonFacility
